id,name,address,lat,lng,hours,quick,slow
1199,제주하귀휴먼시아2단지,제주특별자치도 제주시 애월읍 하귀1리 166-1,33.48065625,126.4155043,24시간,1,0
1213,서귀포남원LH 아파트,제주특별자치도 서귀포시 남원읍 남원리 2494,33.28120095,126.722097,24시간  ※외부인 개방,1,2
1188,제주노형삼환3차 아파트,제주특별자치도 제주시 노형동 1040-1,33.4911164,126.4760643,24시간,0,2
1197,제주정든마을1단지LH 아파트,제주특별자치도 제주시 노형동 2582-4,33.48833019,126.4739309,24시간,1,3
1214,서귀포대정LH 아파트,제주특별자치도 서귀포시 대정읍 하모리 1450,33.22774468,126.2516065,24시간  ※외부인 개방,1,2
1157,노형지구중흥S클래스 아파트,제주특별자치도 제주시 노형동 2585-1,33.48574846,126.4679911,24시간,1,2
1211,동홍인터불고코아루 아파트,제주특별자치도 서귀포시 동홍동 157,33.2538737,126.573624,24시간,0,2
1179,연동아델하임 아파트,제주특별자치도 제주시 연동 308-6,33.48270586,126.4966568,24시간,0,1
1156,노형아이파크,제주특별자치도 제주시 노형동 731-1,33.48046827,126.4839145,24시간,0,2
1218,제주서귀포동홍6단지LH 아파트,제주특별자치도 서귀포시 동홍동 1312,33.26306831,126.5607144,24시간  ※외부인 개방,1,3
1183,일도2차신천지,제주특별자치도 제주시 일도이동 46,33.50647726,126.5460226,24시간,1,1
1181,오등동 진평연립주택,제주특별자치도 제주시 오등동 1352,33.47038057,126.524596,24시간,0,2
1205,현대3노형부영5차 아파트,제주특별자치도 제주시 노형동 754,33.47818153,126.4837772,24시간,1,0
1170,아라뜨래별연립주택,제주특별자치도 제주시 아라이동 890-4,33.47704165,126.5515957,24시간,0,2
1177,에덴빌리지2차,제주특별자치도 제주시 조천읍 함덕리 1752-2,33.53098464,126.6658824,24시간,1,2
1168,신화위더스빌,제주특별자치도 제주시 오라이동 3178-1,33.48079014,126.5026605,24시간,0,1
1192,제주삼화3단지LH 아파트,제주특별자치도 제주시 도련이동 550,33.5146148,126.5865123,24시간,1,3
1176,아이린4차 아파트,제주특별자치도 제주시 이도일동 1245-5,33.50273979,126.5326346,24시간,0,2
1208,혜성대유 아파트,제주특별자치도 제주시 일도이동 46-1,33.50567246,126.545225,24시간,1,0
1217,오페라하우스,제주특별자치도 서귀포시 서홍동 서홍로178번길 45,33.26060345,126.5545596,24시간  ※외부인 개방,0,2
1195,제주외도아름마을LH 아파트,제주특별자치도 제주시 외도일동 641-1,33.48453985,126.4281642,24시간,1,1
1773,도남2차e-편한세상,제주특별자치도 제주시 도남동 서광로22길 32,33.49764295,126.5222667,24시간,0,2
1784,삼아 아파트,제주특별자치도 서귀포시 동홍동 태평로 536,33.25182276,126.5744651,24시간  ※외부인 개방,0,0
1769,광덕 아파트,제주특별자치도 제주시 건입동 사라봉1길 50,33.51463885,126.5411081,24시간,0,2
1776,방선문6차빌리지,제주특별자치도 제주시 아라일동 아란1길 28-1,33.47516491,126.5395519,24시간,0,2
1775,미듬하나로 아파트,제주특별자치도 제주시 도련일동 삼봉로 115-1,33.51103837,126.5900983,24시간,0,2
1778,아라하임,제주특별자치도 제주시 아라이동 1374-1,33.48524281,126.5451539,24시간,0,2
1782,제주이도한일베라체 아파트,제주특별자치도 제주시 이도이동 1956,33.4929984,126.5473412,24시간,1,3
1783,파인그로브,제주특별자치도 제주시 연동 484,33.47815338,126.4997352,24시간,0,1
1786,서귀포혁신LH2단지,제주특별자치도 서귀포시 서호동 서호남로 92-16,33.2480065,126.5198351,24시간  ※외부인 개방,1,2
1772,대유대림 아파트,제주특별자치도 제주시 일도이동 남광로 181,33.50314057,126.5516208,24시간,1,2
1770,노형하이어스,제주특별자치도 제주시 노형동 광평서길 22,33.47721697,126.4650179,24시간,0,1
1785,서귀포혁신LH1단지,제주특별자치도 서귀포시 서호동 서호남로 92-15,33.24958642,126.5236552,24시간  ※외부인 개방,1,2
1777,아너써클,제주특별자치도 제주시 해안동 821,33.46778968,126.4619627,24시간,0,1
2012,아라주원라비앙,제주특별자치도 제주시 아라일동 아연로 512,33.47600106,126.5345814,24시간,0,2
2013,연동뜨레모아 아파트,제주특별자치도 제주시 연동 연동4길 36,33.48268831,126.4873164,24시간,0,1
2015,조천도화썬빌리지,제주특별자치도 제주시 조천읍 조천18길 23-2,33.5394725,126.6455147,24시간,0,2
2016,폴라리스빌5차,제주특별자치도 제주시 월평동 1372,33.47545542,126.5693803,24시간,0,1
2017,화북4 아파트,제주특별자치도 제주시 화북일동 동화로1길 10,33.51800187,126.5739457,24시간,1,0
2018,화북주공2 아파트,제주특별자치도 제주시 동화로1길 39,33.52096091,126.5775048,24시간,1,3
2229,제주공항,제주특별자치도 제주시 용담이동 2002,33.50475714,126.4933755,24시간,9,6
2230,문화아파트,제주특별자치도 제주시 화북이동 4955-2,33.51376647,126.5556252,24시간,0,2
2232,용두암1차현대아파트,제주특별자치도 제주시 용담삼동 505,33.51553129,126.507795,24시간,0,2
2233,하얀빌라,제주특별자치도 제주시 노형동 1070-4,33.489905,126.4793746,24시간,0,1
2336,조양상떼빌,제주특별자치도 제주시 연동 연삼로 30,33.49337146,126.4954875,24시간,0,2
2427,다담빌리지,제주특별자치도 제주시 아라이동 아봉로 88,33.47771795,126.5532709,24시간,0,2
2626,아름아이빌8차,제주특별자치도 제주시 도련1동 1750,33.50969068,126.591521,24시간,0,2
2750,헤르지아 하임,제주특별자치도 제주시 오라이동 1231-6,33.493183,126.513214,24시간  ※외부인 개방,0,1
2762,연동대림1차아파트,제주특별자치도 제주시 연동 1399,33.48051005,126.4885564,24시간  ※외부인 개방,1,0
2899,아라인빌,제주특별자치도 제주시 아라1동 1,33.45613442,126.5569957,24시간  ※외부인 개방,0,2
2976,영산홍주택,제주특별자치도 제주시 이도이동 405,33.49609899,126.540339,24시간,1,0
2980,지산오차드힐아파트,제주특별자치도 서귀포시 서홍동 1597-1,33.26118022,126.5549881,24시간  ※외부인 개방,0,2
2983,샤르망,제주특별자치도 제주시 아라이동 1082-1,33.48411099,126.5527984,24시간  ※외부인 개방,0,2
3023,제주 교육대학교,제주특별자치도 제주시 화북1동 4810,33.51428066,126.552623,24시간,2,0
3024,제주도교육청,제주특별자치도 제주시 연동 311-46,33.49055763,126.4979399,24시간,2,0
3029,제주권역재활센터,제주특별자치도 서귀포시 서귀동 284-1,33.25276012,126.5622877,24시간,2,0
3030,표선 해양경비단,제주특별자치도 서귀포시 표선면 하천리 1493-4,33.35713918,126.8228739,24시간,1,0
3041,화북2동 공영주차장,제주특별자치도 제주시 화북2동 3378-6,33.50904437,126.56073,24시간,1,0
3042,삼양2동 공영주차장,제주특별자치도 제주시 삼양2동 2176-13,33.51991173,126.5825044,24시간,1,0
3043,베라체 공영주차장,제주특별자치도 제주시 이도2동 1963-7,33.49303993,126.5454123,24시간,1,0
3053,서귀포시교육지원청,제주특별자치도 서귀포시 토평동 1442-1,33.27079734,126.5893104,24시간,2,0
3137,새마을금고제주연수원,제주특별자치도 제주시 애월읍 소길리 155-18,33.41288941,126.3944119,24시간,2,0
3165,"봉개갤럭시타운 1,2차",제주특별자치도 제주시 봉개동 1965-1,33.48955838,126.5927711,24시간  ※외부인 개방,0,2
3256,영평휴스토리,제주특별자치도 제주시 영평동 2680-3,33.48803485,126.5532795,24시간  ※외부인 개방,0,1
3282,명주2차 아파트,제주특별자치도 제주시 이도이동 1909-6,33.48935433,126.5311425,24시간  ※외부인 개방,0,3
3302,라움힐,제주특별자치도 제주시 영평동 2697-2,33.48751469,126.5524206,입주민 전용충전시설,0,2
3362,재영샤르빌아파트 11차,제주특별자치도 제주시 화북이동 4955-16,33.51323889,126.5557094,24시간  ※외부인 개방,0,2
3366,농어촌공사 제주지역본부,제주특별자치도 제주시 삼양2동 2127-1,33.5225765,126.5872452,24시간,1,0
3367,제주경찰교육센터,제주특별자치도 제주시 아라1동 산 1-6,33.44113169,126.5656366,24시간,1,0
3368,제주탐라교육원,제주특별자치도 제주시 오라2동 산 100,33.427087,126.53171,24시간,1,0
3382,서커스월드공연장,제주특별자치도 서귀포시 안덕면 동광리 886,33.314364,126.3445961,24시간,2,0
3380,김영갑갤러리,제주특별자치도 서귀포시 성산읍 삼달리 437-5,33.37222377,126.8544309,24시간,2,0
3404,아트리움공연장,제주특별자치도 제주시 해안동 2139-1,33.46494234,126.4551685,"14~15시, 16~17시 이용불가",2,0
3448,생각하는정원,제주특별자치도 제주시 한경면 저지리 1525-3,33.32533636,126.2549869,06~23시,2,0
3449,토이파크,제주특별자치도 서귀포시 안덕면 동광리 383,33.3189031,126.3453569,24시간,2,0
3450,건강과 성박물관,제주특별자치도 서귀포시 안덕면 감산리 1404,33.25505535,126.346811,24시간,3,0
3461,제주대학교,제주특별자치도 제주시 아라1동 1,33.45700693,126.56405,24시간,2,0
3467,제주해양경찰서,제주특별자치도 건입동 908,33.519952,126.540272,24시간,2,0
3643,신제주아파트,제주특별자치도 제주시 노형동 1274-9,33.48946017,126.4811,24시간,0,1
3644,아이고운 힐 D지구,제주특별자치도 제주시 오라삼동 2895,33.48856119,126.5032311,24시간,0,2
3830,저지리사무소,제주특별자치도 제주시 한경면 저지리 1863-1,33.33262667,126.2558563,24시간,2,0
3831,삼성혈,제주특별자치도 제주시 이도일동 1313,33.50430126,126.5288722,24시간,2,0
3834,방주교회,제주특별자치도 서귀포시 안덕면 상천리 427,33.30512625,126.3872927,24시간,2,0
3833,한경농협 하나로마트,제주특별자치도 제주시 한경면 신창리 18-2,33.34664809,126.1902546,24시간,1,0
3832,도로교통공단 제주지부,제주특별자치도 제주시 노형동 3220,33.4750458,126.4647778,24시간,2,0
3836,번개과학체험관,제주특별자치도 서귀포시 토평동 1799,33.28952291,126.5886129,24시간,2,0
3835,서귀포개인택시조합,제주특별자치도 서귀포시 토평동 1379,33.26943663,126.592884,24시간,2,0
3837,서귀포향토오일장,제주특별자치도 서귀포시 동홍동 779-1,33.26716385,126.5730314,24시간,2,0
3839,강정생명평화교회,제주특별자치도 서귀포시 선반로65번길 61,33.23764167,126.4955332,24시간,2,0
3838,물영아리주차장,제주특별자치도 서귀포시 남원읍 수망리 산 182-7,33.36074807,126.6924479,24시간,2,0
3840,구좌119센터,제주특별자치도 제주시 구좌읍 세화리 1360,33.52019559,126.8600973,24시간,1,0
3842,제주산학융합원,제주특별자치도 제주시 아라일동 3005-3,33.44732361,126.5674904,24시간,3,0
3862,제주전력지사(공용),제주특별자치도 제주시 이도이동 996-7,33.49830903,126.536698,24시간,1,4
3864,대정읍사무소,제주특별자치도 서귀포시 대정읍 하모리 1413,33.22665355,126.2521625,24시간,3,0
4655,국제대학교 버스차고지,제주특별자치도 제주시 영평동 2235,33.43879282,126.5706527,24시간,4,0
4656,용흥리사무소,제주특별자치도 제주시 애월읍 신엄리 1818-1,33.45877991,126.3694208,24시간,2,0
4657,이도2동 공영주차장,제주특별자치도 제주시 이도이동 1052-2,33.49677893,126.5349868,24시간,2,0
4694,동물위생시험소(동물보호센터),제주특별자치도 제주시 용강동 1065,33.45590005,126.5890796,24시간,1,0
4695,신성로 공영주차장,제주특별자치도 제주시 도남동 87-8,33.49597363,126.5297437,24시간,10,0
4697,종달리 종합복지회관,제주특별자치도 제주시 구좌읍 종달리 1113-55,33.49262481,126.9005699,24시간,2,0
4698,한라산렌트카,제주특별자치도 제주시 도두일동 2203-1,33.49575264,126.47076,24시간,3,0
4699,한수풀도서관,제주특별자치도 제주시 한림읍 대림리 1877,33.42029842,126.2685489,24시간,2,0
4700,노형 제2공영주차장,제주특별자치도 제주시 노형동 1290-3,33.48730913,126.4797825,24시간,4,0
